# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-4.039818e-04 -4.302736e-05 -3.089931e-04)	(-1.156619e-04 4.302735e-05 3.089931e-04)
0.000000e+00	sideWall	(-8.829377e-05 -2.604272e-06 -2.644681e-12)	(-1.838550e-05 2.582825e-06 1.912532e-12)
0.000000e+00	bottom	(-6.059476e-04 -1.197704e-11 -3.787290e-05)	(-2.694540e-04 1.416659e-11 3.787290e-05)
2.000000e-01	roughCylinder	(-2.054603e-03 -1.107469e-03 -1.799260e-04)	(6.293649e-05 1.105643e-03 2.735264e-04)
2.000000e-01	sideWall	(-3.369429e-04 -3.255325e-05 -9.814029e-06)	(-3.336831e-05 3.274246e-05 5.006021e-05)
2.000000e-01	bottom	(-1.842788e-03 -1.137083e-03 -5.221157e-05)	(2.440446e-04 1.137738e-03 6.679713e-05)
4.000000e-01	roughCylinder	(-2.321272e-03 -1.283839e-03 -1.803112e-04)	(1.395209e-04 1.283106e-03 3.600075e-04)
4.000000e-01	sideWall	(-3.363284e-04 -2.405058e-05 -7.381449e-06)	(-2.763946e-05 2.369057e-05 4.516108e-05)
4.000000e-01	bottom	(-1.813763e-03 -1.133338e-03 -4.647110e-05)	(2.459507e-04 1.133376e-03 6.357472e-05)
6.000000e-01	roughCylinder	(-2.406362e-03 -1.351411e-03 -2.018086e-04)	(2.463244e-04 1.351019e-03 4.138181e-04)
6.000000e-01	sideWall	(-3.332718e-04 -1.912340e-05 -5.353483e-06)	(-2.419819e-05 1.846620e-05 3.928703e-05)
6.000000e-01	bottom	(-1.779170e-03 -1.146709e-03 -7.264296e-05)	(3.211702e-04 1.146721e-03 6.435045e-05)
8.000000e-01	roughCylinder	(-2.408812e-03 -1.367959e-03 -2.144956e-04)	(2.776190e-04 1.367757e-03 4.475072e-04)
8.000000e-01	sideWall	(-3.291635e-04 -1.643154e-05 -4.675765e-06)	(-2.207460e-05 1.572301e-05 3.402396e-05)
8.000000e-01	bottom	(-1.767199e-03 -1.182940e-03 -6.399626e-05)	(4.112398e-04 1.183867e-03 6.945959e-05)
1.000000e+00	roughCylinder	(-2.374696e-03 -1.362302e-03 -2.064676e-04)	(2.828931e-04 1.361602e-03 4.680076e-04)
1.000000e+00	sideWall	(-3.248095e-04 -1.479973e-05 -4.413670e-06)	(-2.065356e-05 1.410523e-05 2.972351e-05)
1.000000e+00	bottom	(-1.841873e-03 -1.210782e-03 -5.561848e-05)	(5.205116e-04 1.212534e-03 7.791169e-05)
1.200000e+00	roughCylinder	(-2.323850e-03 -1.349920e-03 -2.191886e-04)	(2.794702e-04 1.349332e-03 4.807003e-04)
1.200000e+00	sideWall	(-3.228983e-04 -1.374594e-05 -4.274733e-06)	(-1.959873e-05 1.305548e-05 2.635876e-05)
1.200000e+00	bottom	(-1.779456e-03 -1.234815e-03 -5.527973e-05)	(6.329427e-04 1.235342e-03 7.416325e-05)
1.400000e+00	roughCylinder	(-2.275057e-03 -1.337603e-03 -2.156395e-04)	(2.790415e-04 1.337064e-03 4.887043e-04)
1.400000e+00	sideWall	(-3.218255e-04 -1.311811e-05 -4.399719e-06)	(-1.875279e-05 1.245802e-05 2.381003e-05)
1.400000e+00	bottom	(-1.718985e-03 -1.244590e-03 -4.549252e-05)	(7.299100e-04 1.244455e-03 8.047067e-05)
1.600000e+00	roughCylinder	(-2.229414e-03 -1.326619e-03 -2.007946e-04)	(2.826651e-04 1.326259e-03 4.938977e-04)
1.600000e+00	sideWall	(-3.207099e-04 -1.286221e-05 -4.470283e-06)	(-1.805644e-05 1.225258e-05 2.194856e-05)
1.600000e+00	bottom	(-1.662165e-03 -1.246548e-03 -6.366203e-05)	(8.023854e-04 1.246269e-03 7.785399e-05)
1.800000e+00	roughCylinder	(-2.192069e-03 -1.317346e-03 -1.901477e-04)	(2.901253e-04 1.316961e-03 4.973768e-04)
1.800000e+00	sideWall	(-3.194450e-04 -1.292197e-05 -4.492610e-06)	(-1.749375e-05 1.233250e-05 2.064926e-05)
1.800000e+00	bottom	(-1.611781e-03 -1.244135e-03 -5.094750e-05)	(8.451599e-04 1.244667e-03 7.508197e-05)
2.000000e+00	roughCylinder	(-2.158563e-03 -1.308819e-03 -1.869780e-04)	(2.884456e-04 1.308517e-03 4.997749e-04)
2.000000e+00	sideWall	(-3.182514e-04 -1.308726e-05 -4.485346e-06)	(-1.706027e-05 1.253602e-05 1.979040e-05)
