# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.937223e+01	4.136748e+01	3.245954e+01
0             	sideWall	2.855213e+01	7.527395e+01	6.232662e+01
0             	bottom	2.514416e+00	5.755280e+00	5.055008e+00
0.2           	roughCylinder	1.561132e+01	9.300717e+01	4.910887e+01
0.2           	sideWall	2.500062e+01	7.637209e+01	6.167943e+01
0.2           	bottom	1.970210e+00	7.151349e+00	4.485524e+00
0.4           	roughCylinder	1.174585e+00	1.114487e+02	5.928172e+01
0.4           	sideWall	2.402322e+01	7.713736e+01	6.101692e+01
0.4           	bottom	2.147267e+00	9.981923e+00	4.693293e+00
0.6           	roughCylinder	1.451973e+00	1.175225e+02	6.268828e+01
0.6           	sideWall	2.330976e+01	7.760868e+01	6.042254e+01
0.6           	bottom	2.982750e-01	1.154601e+01	4.823210e+00
0.8           	roughCylinder	2.422050e+00	1.187451e+02	6.454608e+01
0.8           	sideWall	2.302445e+01	7.783594e+01	5.991508e+01
0.8           	bottom	4.205917e-01	1.302099e+01	4.938084e+00
1             	roughCylinder	1.431722e+00	1.182486e+02	6.598489e+01
1             	sideWall	2.287359e+01	7.788238e+01	5.949776e+01
1             	bottom	4.822165e-01	1.337646e+01	5.033213e+00
1.2           	roughCylinder	4.367230e+00	1.174740e+02	6.662724e+01
1.2           	sideWall	2.276705e+01	7.931902e+01	5.916580e+01
1.2           	bottom	8.480216e-01	1.344980e+01	5.094974e+00
1.4           	roughCylinder	9.683228e-01	1.168675e+02	6.674680e+01
1.4           	sideWall	2.260434e+01	8.050611e+01	5.891093e+01
1.4           	bottom	3.728020e-01	1.340786e+01	5.134196e+00
1.6           	roughCylinder	2.779717e+00	1.164157e+02	6.639479e+01
1.6           	sideWall	2.256368e+01	8.080640e+01	5.872385e+01
1.6           	bottom	1.325285e+00	1.334442e+01	5.155526e+00
1.8           	roughCylinder	2.665299e+00	1.160449e+02	6.587094e+01
1.8           	sideWall	2.259623e+01	8.107883e+01	5.859508e+01
1.8           	bottom	1.047130e+00	1.327118e+01	5.166649e+00
2             	roughCylinder	3.017423e+00	1.157100e+02	6.523393e+01
2             	sideWall	2.264093e+01	8.097782e+01	5.851528e+01
2             	bottom	6.023096e-01	1.320242e+01	5.175179e+00
3             	roughCylinder	3.874190e+00	1.144789e+02	6.189984e+01
3             	sideWall	2.296027e+01	8.022260e+01	5.857869e+01
3             	bottom	1.385477e+00	1.294127e+01	5.211538e+00
4             	roughCylinder	1.473912e+00	1.140734e+02	5.937229e+01
4             	sideWall	2.314716e+01	8.027132e+01	5.895481e+01
4             	bottom	2.945172e-01	1.282255e+01	5.212630e+00
5             	roughCylinder	1.553556e+00	1.139205e+02	5.792156e+01
5             	sideWall	2.332219e+01	8.030822e+01	5.933258e+01
5             	bottom	3.104316e-01	1.275590e+01	5.200774e+00
6             	roughCylinder	9.467449e-01	1.137696e+02	5.708591e+01
6             	sideWall	2.350884e+01	8.030669e+01	5.961345e+01
6             	bottom	1.891786e-01	1.269837e+01	5.192382e+00
7             	roughCylinder	2.564448e+00	1.136844e+02	5.669295e+01
7             	sideWall	2.350588e+01	8.044273e+01	5.981059e+01
7             	bottom	1.378405e+00	1.266800e+01	5.194654e+00
8             	roughCylinder	4.571692e+00	1.135987e+02	5.651915e+01
8             	sideWall	2.327986e+01	8.046931e+01	5.995137e+01
8             	bottom	1.737300e+00	1.263062e+01	5.202949e+00
9             	roughCylinder	2.993973e+00	1.135608e+02	5.650451e+01
9             	sideWall	2.333306e+01	8.042527e+01	6.005684e+01
9             	bottom	1.332707e+00	1.260387e+01	5.211866e+00
10            	roughCylinder	2.065722e+00	1.135283e+02	5.642287e+01
10            	sideWall	2.350772e+01	8.045830e+01	6.013041e+01
10            	bottom	1.054999e+00	1.259172e+01	5.218457e+00
11            	roughCylinder	1.370065e+00	1.134953e+02	5.639059e+01
11            	sideWall	2.353066e+01	8.051825e+01	6.016826e+01
11            	bottom	3.638197e-01	1.258023e+01	5.221616e+00
12            	roughCylinder	2.700759e+00	1.134627e+02	5.635875e+01
12            	sideWall	2.351607e+01	8.055997e+01	6.017920e+01
12            	bottom	5.396656e-01	1.257451e+01	5.224136e+00
13            	roughCylinder	4.332638e+00	1.134403e+02	5.627609e+01
13            	sideWall	2.351948e+01	8.059484e+01	6.018243e+01
13            	bottom	8.657477e-01	1.256063e+01	5.226589e+00
14            	roughCylinder	6.028202e-01	1.134196e+02	5.629664e+01
14            	sideWall	2.352741e+01	8.062023e+01	6.019093e+01
14            	bottom	1.418735e+00	1.256340e+01	5.228472e+00
15            	roughCylinder	2.818878e+00	1.133799e+02	5.627841e+01
15            	sideWall	2.353335e+01	8.063538e+01	6.020616e+01
15            	bottom	1.111157e+00	1.256072e+01	5.229576e+00
16            	roughCylinder	4.061094e+00	1.133799e+02	5.632064e+01
16            	sideWall	2.353898e+01	8.065659e+01	6.022273e+01
16            	bottom	1.135703e+00	1.255767e+01	5.230905e+00
17            	roughCylinder	6.429626e+00	1.133526e+02	5.632431e+01
17            	sideWall	2.354373e+01	8.066378e+01	6.023600e+01
17            	bottom	1.799606e+00	1.255646e+01	5.231231e+00
18            	roughCylinder	1.682388e+00	1.133628e+02	5.624650e+01
18            	sideWall	2.354714e+01	8.067400e+01	6.024554e+01
18            	bottom	3.358224e-01	1.255809e+01	5.231304e+00
19            	roughCylinder	4.136305e+00	1.133319e+02	5.626464e+01
19            	sideWall	2.354943e+01	8.067817e+01	6.025302e+01
19            	bottom	8.880730e-01	1.255447e+01	5.231345e+00
20            	roughCylinder	5.263902e+00	1.133610e+02	5.623907e+01
20            	sideWall	2.355054e+01	8.068915e+01	6.025896e+01
20            	bottom	1.108722e+00	1.255767e+01	5.231161e+00
21            	roughCylinder	2.323989e+00	1.133548e+02	5.618817e+01
21            	sideWall	2.355165e+01	8.068952e+01	6.026356e+01
21            	bottom	1.458642e+00	1.255086e+01	5.230943e+00
22            	roughCylinder	2.919906e+00	1.133557e+02	5.625265e+01
22            	sideWall	2.355149e+01	8.069293e+01	6.026709e+01
22            	bottom	5.828441e-01	1.255002e+01	5.230338e+00
