# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-4.055159e-04 -4.319855e-05 -3.433844e-04)	(-9.578028e-05 4.319855e-05 3.433844e-04)
0.000000e+00	sideWall	(-8.939782e-05 -2.643989e-06 -4.868125e-12)	(-1.521109e-05 2.630665e-06 4.717091e-12)
0.000000e+00	bottom	(-6.684515e-04 -5.609005e-11 -3.118210e-05)	(-2.943308e-04 5.603008e-11 3.118209e-05)
2.000000e-01	roughCylinder	(-2.068978e-03 -1.114487e-03 -1.926553e-04)	(6.016729e-05 1.112245e-03 2.637413e-04)
2.000000e-01	sideWall	(-3.446403e-04 -3.328706e-05 -1.316364e-05)	(-2.688463e-05 3.345214e-05 5.680992e-05)
2.000000e-01	bottom	(-2.161676e-03 -1.378951e-03 -5.937851e-05)	(3.208222e-04 1.380199e-03 6.763731e-05)
4.000000e-01	roughCylinder	(-2.338495e-03 -1.290387e-03 -1.967290e-04)	(1.362719e-04 1.289612e-03 3.514748e-04)
4.000000e-01	sideWall	(-3.440644e-04 -2.450118e-05 -9.240254e-06)	(-2.248992e-05 2.417758e-05 5.025208e-05)
4.000000e-01	bottom	(-2.218062e-03 -1.389291e-03 -5.728984e-05)	(3.189668e-04 1.389602e-03 6.605063e-05)
6.000000e-01	roughCylinder	(-2.422252e-03 -1.357335e-03 -2.216295e-04)	(1.844103e-04 1.356930e-03 4.069026e-04)
6.000000e-01	sideWall	(-3.409472e-04 -1.946621e-05 -6.419340e-06)	(-1.966426e-05 1.892833e-05 4.378452e-05)
6.000000e-01	bottom	(-2.170837e-03 -1.421583e-03 -6.122067e-05)	(3.544933e-04 1.421731e-03 6.777759e-05)
8.000000e-01	roughCylinder	(-2.421969e-03 -1.373319e-03 -2.337282e-04)	(2.731699e-04 1.373135e-03 4.430700e-04)
8.000000e-01	sideWall	(-3.367550e-04 -1.675359e-05 -4.980464e-06)	(-1.786594e-05 1.619136e-05 3.818442e-05)
8.000000e-01	bottom	(-2.159144e-03 -1.441455e-03 -7.365856e-05)	(4.483534e-04 1.441617e-03 6.880662e-05)
1.000000e+00	roughCylinder	(-2.384473e-03 -1.367036e-03 -2.370130e-04)	(3.069960e-04 1.367050e-03 4.668833e-04)
1.000000e+00	sideWall	(-3.323112e-04 -1.512918e-05 -4.751339e-06)	(-1.665171e-05 1.455827e-05 3.357783e-05)
1.000000e+00	bottom	(-2.130170e-03 -1.449212e-03 -7.316349e-05)	(5.429762e-04 1.449400e-03 6.902600e-05)
1.200000e+00	roughCylinder	(-2.332221e-03 -1.354334e-03 -2.473889e-04)	(3.032552e-04 1.354305e-03 4.828662e-04)
1.200000e+00	sideWall	(-3.304535e-04 -1.407011e-05 -4.625313e-06)	(-1.575627e-05 1.352289e-05 2.989476e-05)
1.200000e+00	bottom	(-2.084939e-03 -1.453861e-03 -6.420627e-05)	(6.479348e-04 1.453994e-03 6.881711e-05)
1.400000e+00	roughCylinder	(-2.282281e-03 -1.341757e-03 -2.887715e-04)	(2.887320e-04 1.341395e-03 4.935128e-04)
1.400000e+00	sideWall	(-3.292774e-04 -1.345118e-05 -4.751729e-06)	(-1.504101e-05 1.292547e-05 2.702584e-05)
1.400000e+00	bottom	(-2.035926e-03 -1.463725e-03 -5.227895e-05)	(7.657247e-04 1.463828e-03 6.847304e-05)
1.600000e+00	roughCylinder	(-2.235802e-03 -1.330444e-03 -2.762711e-04)	(2.822487e-04 1.330149e-03 5.007433e-04)
1.600000e+00	sideWall	(-3.281329e-04 -1.321294e-05 -4.825063e-06)	(-1.444643e-05 1.270961e-05 2.486309e-05)
1.600000e+00	bottom	(-1.988314e-03 -1.468795e-03 -4.548176e-05)	(8.769573e-04 1.468903e-03 6.840555e-05)
1.800000e+00	roughCylinder	(-2.195609e-03 -1.320623e-03 -2.589213e-04)	(2.898617e-04 1.320122e-03 5.057556e-04)
