# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.965480e+01	4.264254e+01	3.336651e+01
0             	sideWall	2.600002e+01	7.618554e+01	6.302461e+01
0             	bottom	1.733975e+00	4.320942e+00	3.714038e+00
0.2           	roughCylinder	1.389263e+01	9.331890e+01	4.893706e+01
0.2           	sideWall	2.264446e+01	7.723376e+01	6.229232e+01
0.2           	bottom	1.343051e+00	4.825452e+00	3.211069e+00
0.4           	roughCylinder	4.902370e+00	1.117472e+02	5.857111e+01
0.4           	sideWall	2.148825e+01	7.802194e+01	6.155731e+01
0.4           	bottom	1.454754e+00	6.984943e+00	3.309757e+00
0.6           	roughCylinder	1.477247e+00	1.177725e+02	6.195702e+01
0.6           	sideWall	2.088538e+01	7.850896e+01	6.091274e+01
0.6           	bottom	1.411720e+00	7.513734e+00	3.378352e+00
0.8           	roughCylinder	1.310535e+00	1.189867e+02	6.356772e+01
0.8           	sideWall	2.056301e+01	7.874397e+01	6.037095e+01
0.8           	bottom	5.034257e-01	8.334726e+00	3.443384e+00
1             	roughCylinder	3.061211e+00	1.184975e+02	6.478878e+01
1             	sideWall	2.039668e+01	7.890206e+01	5.993025e+01
1             	bottom	4.151861e-01	8.849961e+00	3.504591e+00
1.2           	roughCylinder	6.183459e-01	1.177271e+02	6.563270e+01
1.2           	sideWall	2.039545e+01	8.028920e+01	5.958244e+01
1.2           	bottom	1.107156e-01	9.167117e+00	3.557923e+00
1.4           	roughCylinder	1.955126e+00	1.171146e+02	6.606004e+01
1.4           	sideWall	2.028379e+01	8.152812e+01	5.931697e+01
1.4           	bottom	1.146610e+00	9.361882e+00	3.600084e+00
1.6           	roughCylinder	2.606738e+00	1.166532e+02	6.588645e+01
1.6           	sideWall	2.022107e+01	8.188249e+01	5.912299e+01
1.6           	bottom	3.904396e-01	9.544126e+00	3.629103e+00
1.8           	roughCylinder	6.425631e-01	1.162728e+02	6.560542e+01
1.8           	sideWall	2.024131e+01	8.203193e+01	5.898987e+01
