# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-3.937598e-04 -4.196356e-05 -3.266733e-04)	(-9.069177e-05 4.196356e-05 3.266733e-04)
0.000000e+00	sideWall	(-9.076766e-05 -2.391399e-06 -2.540098e-12)	(-1.541193e-05 2.377382e-06 2.707781e-12)
0.000000e+00	bottom	(-6.301428e-04 -2.017797e-10 -3.013148e-05)	(-2.918818e-04 2.006319e-10 3.013148e-05)
1.000000e+00	roughCylinder	(-2.219213e-03 -1.285049e-03 -2.650303e-04)	(3.052652e-04 1.284759e-03 4.624628e-04)
1.000000e+00	sideWall	(-3.495374e-04 -1.227626e-05 -5.217368e-06)	(-1.911710e-05 1.179792e-05 2.835995e-05)
1.000000e+00	bottom	(-2.003964e-03 -1.395869e-03 -6.063919e-05)	(6.623899e-04 1.395860e-03 6.463976e-05)
2.000000e+00	roughCylinder	(-2.006532e-03 -1.232143e-03 -1.976910e-04)	(3.126117e-04 1.231031e-03 4.898346e-04)
2.000000e+00	sideWall	(-3.471811e-04 -1.136003e-05 -5.386762e-06)	(-1.647381e-05 1.089317e-05 1.926500e-05)
2.000000e+00	bottom	(-1.788624e-03 -1.403808e-03 -3.407680e-05)	(9.192647e-04 1.403342e-03 6.613261e-05)
3.000000e+00	roughCylinder	(-1.930232e-03 -1.209952e-03 -1.878304e-04)	(1.512322e-04 1.208640e-03 4.947257e-04)
3.000000e+00	sideWall	(-3.453567e-04 -1.132182e-05 -5.265265e-06)	(-1.610592e-05 1.083227e-05 1.859797e-05)
3.000000e+00	bottom	(-1.700359e-03 -1.388261e-03 -3.432953e-05)	(4.995434e-04 1.388059e-03 6.653532e-05)
4.000000e+00	roughCylinder	(-1.920459e-03 -1.204113e-03 -1.825734e-04)	(1.370118e-04 1.208265e-03 4.972756e-04)
4.000000e+00	sideWall	(-3.473716e-04 -1.132672e-05 -5.103907e-06)	(-1.607351e-05 1.083873e-05 1.850389e-05)
4.000000e+00	bottom	(-1.638957e-03 -1.375917e-03 -3.052957e-05)	(4.515871e-04 1.377008e-03 6.658078e-05)
5.000000e+00	roughCylinder	(-1.918029e-03 -1.205157e-03 -1.793560e-04)	(1.351591e-04 1.206156e-03 4.992335e-04)
5.000000e+00	sideWall	(-3.502640e-04 -1.132788e-05 -5.216129e-06)	(-1.607236e-05 1.084088e-05 1.848556e-05)
5.000000e+00	bottom	(-1.597613e-03 -1.368037e-03 -3.554574e-05)	(4.542032e-04 1.368889e-03 6.662612e-05)
6.000000e+00	roughCylinder	(-1.919305e-03 -1.205604e-03 -1.775011e-04)	(1.350704e-04 1.203969e-03 4.990880e-04)
6.000000e+00	sideWall	(-3.522709e-04 -1.132821e-05 -5.648771e-06)	(-1.607260e-05 1.084132e-05 1.848325e-05)
6.000000e+00	bottom	(-1.573312e-03 -1.364282e-03 -3.131204e-05)	(4.557699e-04 1.363057e-03 6.664141e-05)
7.000000e+00	roughCylinder	(-1.916395e-03 -1.203815e-03 -1.763113e-04)	(1.348607e-04 1.203369e-03 4.987468e-04)
7.000000e+00	sideWall	(-3.510971e-04 -1.132779e-05 -4.836107e-06)	(-1.607278e-05 1.084090e-05 1.848270e-05)
7.000000e+00	bottom	(-1.558427e-03 -1.359654e-03 -3.680497e-05)	(4.562059e-04 1.360754e-03 6.659929e-05)
8.000000e+00	roughCylinder	(-1.915148e-03 -1.204123e-03 -1.753913e-04)	(1.347354e-04 1.201294e-03 4.986768e-04)
8.000000e+00	sideWall	(-3.486021e-04 -1.132765e-05 -4.470915e-06)	(-1.607295e-05 1.084062e-05 1.848287e-05)
8.000000e+00	bottom	(-1.547064e-03 -1.358650e-03 -4.151525e-05)	(4.715448e-04 1.356375e-03 6.657325e-05)
9.000000e+00	roughCylinder	(-1.913923e-03 -1.200804e-03 -1.747003e-04)	(1.346344e-04 1.203301e-03 4.985561e-04)
9.000000e+00	sideWall	(-3.482772e-04 -1.132747e-05 -4.675192e-06)	(-1.607278e-05 1.084064e-05 1.848244e-05)
9.000000e+00	bottom	(-1.538575e-03 -1.354375e-03 -3.538834e-05)	(4.842116e-04 1.356504e-03 6.655460e-05)
