# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.948507e+01	4.162468e+01	3.258133e+01
0             	sideWall	2.703880e+01	7.841008e+01	6.461239e+01
0             	bottom	1.830331e+00	4.234263e+00	3.743299e+00
1             	roughCylinder	2.408946e+00	1.145243e+02	6.459149e+01
1             	sideWall	2.214518e+01	8.042641e+01	6.169749e+01
1             	bottom	3.191527e-01	9.265563e+00	3.647892e+00
2             	roughCylinder	1.779330e+00	1.124564e+02	6.261204e+01
2             	sideWall	2.163090e+01	8.349696e+01	6.107322e+01
2             	bottom	3.335969e-01	9.760162e+00	3.733523e+00
3             	roughCylinder	5.293161e+00	1.115575e+02	5.891042e+01
3             	sideWall	2.212903e+01	8.298217e+01	6.123667e+01
3             	bottom	9.716958e-01	9.694876e+00	3.739125e+00
4             	roughCylinder	4.444080e+00	1.114908e+02	5.673381e+01
4             	sideWall	2.218976e+01	8.294757e+01	6.154480e+01
4             	bottom	8.471562e-01	9.706261e+00	3.725663e+00
5             	roughCylinder	4.534541e+00	1.114007e+02	5.566536e+01
5             	sideWall	2.228459e+01	8.312155e+01	6.182892e+01
5             	bottom	7.011837e-01	9.717572e+00	3.714616e+00
6             	roughCylinder	1.731783e+00	1.113612e+02	5.515986e+01
6             	sideWall	2.237882e+01	8.333366e+01	6.204698e+01
6             	bottom	5.487410e-01	9.710752e+00	3.711927e+00
7             	roughCylinder	3.760446e+00	1.112935e+02	5.504681e+01
7             	sideWall	2.213302e+01	8.357520e+01	6.219192e+01
7             	bottom	1.030685e+00	9.702699e+00	3.718115e+00
8             	roughCylinder	1.766250e+00	1.112827e+02	5.506678e+01
8             	sideWall	2.197903e+01	8.347757e+01	6.228249e+01
8             	bottom	4.539499e-01	9.698143e+00	3.727781e+00
9             	roughCylinder	2.711008e+00	1.112455e+02	5.515089e+01
9             	sideWall	2.212051e+01	8.347098e+01	6.234057e+01
9             	bottom	9.271654e-01	9.694112e+00	3.735293e+00
10            	roughCylinder	1.041485e+00	1.112069e+02	5.520115e+01
10            	sideWall	2.222130e+01	8.353133e+01	6.236967e+01
10            	bottom	4.270608e-01	9.691195e+00	3.739870e+00
11            	roughCylinder	1.079488e+00	1.111907e+02	5.519558e+01
11            	sideWall	2.220097e+01	8.356606e+01	6.237253e+01
11            	bottom	1.669230e-01	9.689604e+00	3.742894e+00
12            	roughCylinder	3.973168e+00	1.111651e+02	5.517167e+01
12            	sideWall	2.220047e+01	8.360918e+01	6.236713e+01
12            	bottom	6.164172e-01	9.688427e+00	3.745313e+00
13            	roughCylinder	3.596019e+00	1.111408e+02	5.518672e+01
13            	sideWall	2.220742e+01	8.362233e+01	6.236941e+01
13            	bottom	6.599011e-01	9.687750e+00	3.746827e+00
14            	roughCylinder	3.909462e+00	1.111206e+02	5.522786e+01
14            	sideWall	2.221238e+01	8.365008e+01	6.238167e+01
14            	bottom	6.038931e-01	9.687205e+00	3.747913e+00
15            	roughCylinder	9.260839e-01	1.111197e+02	5.514535e+01
15            	sideWall	2.221750e+01	8.365519e+01	6.239707e+01
15            	bottom	6.622043e-01	9.686924e+00	3.748623e+00
16            	roughCylinder	7.988557e-01	1.111049e+02	5.514387e+01
16            	sideWall	2.221982e+01	8.367381e+01	6.240923e+01
16            	bottom	1.235284e-01	9.686845e+00	3.748891e+00
17            	roughCylinder	1.745766e+00	1.110963e+02	5.512844e+01
17            	sideWall	2.222337e+01	8.367199e+01	6.241760e+01
17            	bottom	4.653615e-01	9.686968e+00	3.749157e+00
18            	roughCylinder	6.885774e-01	1.111094e+02	5.513685e+01
18            	sideWall	2.222320e+01	8.368184e+01	6.242357e+01
18            	bottom	2.336752e-01	9.686774e+00	3.749513e+00
19            	roughCylinder	4.176001e+00	1.110833e+02	5.508736e+01
19            	sideWall	2.222527e+01	8.367746e+01	6.242811e+01
19            	bottom	9.054579e-01	9.686897e+00	3.749564e+00
20            	roughCylinder	2.089218e+00	1.110999e+02	5.512375e+01
20            	sideWall	2.222370e+01	8.368111e+01	6.243118e+01
20            	bottom	4.773017e-01	9.686976e+00	3.749782e+00
21            	roughCylinder	3.745805e+00	1.110855e+02	5.520123e+01
