# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-3.918770e-04 -4.174630e-05 -2.625584e-04)	(-9.279694e-05 4.174630e-05 2.625584e-04)
0.000000e+00	sideWall	(-8.443032e-05 -2.489722e-06 -2.034538e-12)	(-1.490969e-05 2.472928e-06 2.904972e-12)
0.000000e+00	bottom	(-5.026704e-04 -1.437353e-10 -2.971683e-05)	(-2.185134e-04 1.426385e-10 2.971683e-05)
2.000000e-01	roughCylinder	(-1.872731e-03 -1.069012e-03 -3.823505e-04)	(8.426546e-05 1.071366e-03 2.670504e-04)
2.000000e-01	sideWall	(-3.252891e-04 -3.031381e-05 -6.020747e-06)	(-1.231041e-05 3.093791e-05 2.341336e-05)
2.000000e-01	bottom	(-2.237793e-03 -1.322683e-03 -8.089766e-05)	(3.200148e-04 1.473652e-03 7.477038e-05)
4.000000e-01	roughCylinder	(-2.183866e-03 -1.252974e-03 -3.483578e-04)	(1.928640e-04 1.251711e-03 3.386850e-04)
4.000000e-01	sideWall	(-3.259363e-04 -2.201224e-05 -5.035821e-06)	(-9.424751e-06 2.232889e-05 1.979971e-05)
4.000000e-01	bottom	(-2.269799e-03 -1.253189e-03 -7.121987e-05)	(4.102733e-04 1.405290e-03 6.590861e-05)
6.000000e-01	roughCylinder	(-2.229114e-03 -1.320448e-03 -3.374267e-04)	(2.643858e-04 1.320509e-03 3.761929e-04)
6.000000e-01	sideWall	(-3.226043e-04 -1.711017e-05 -4.385449e-06)	(-7.848579e-06 1.727557e-05 1.652587e-05)
6.000000e-01	bottom	(-2.127930e-03 -1.211984e-03 -1.030222e-04)	(5.698717e-04 1.610132e-03 6.555630e-05)
8.000000e-01	roughCylinder	(-2.221675e-03 -1.348093e-03 -3.694974e-04)	(3.523095e-04 1.348756e-03 3.961022e-04)
8.000000e-01	sideWall	(-3.178747e-04 -1.458854e-05 -3.733480e-06)	(-6.972439e-06 1.470051e-05 1.393146e-05)
8.000000e-01	bottom	(-2.081596e-03 -1.328385e-03 -1.202559e-04)	(6.659842e-04 1.291271e-03 6.623129e-05)
1.000000e+00	roughCylinder	(-2.199673e-03 -1.357146e-03 -6.343073e-04)	(4.174877e-04 1.357823e-03 4.076074e-04)
