# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.608246e+01	3.528339e+01	2.766275e+01
0             	sideWall	1.385878e+01	7.416120e+01	5.508435e+01
0             	bottom	1.162710e+00	5.350640e+00	4.150220e+00
0.2           	roughCylinder	4.823106e+00	9.562010e+01	4.979755e+01
0.2           	sideWall	1.251131e+01	7.629074e+01	5.541064e+01
0.2           	bottom	3.973180e-01	1.833818e+01	4.479437e+00
0.4           	roughCylinder	1.563983e+00	1.181713e+02	5.846564e+01
0.4           	sideWall	1.212067e+01	7.764567e+01	5.537489e+01
0.4           	bottom	3.783853e-01	1.949437e+01	4.303747e+00
0.6           	roughCylinder	1.168526e+00	1.267709e+02	6.116428e+01
0.6           	sideWall	1.177703e+01	7.824358e+01	5.517681e+01
0.6           	bottom	2.965394e-01	1.814620e+01	4.334686e+00
0.8           	roughCylinder	8.113911e-01	1.306512e+02	6.344582e+01
0.8           	sideWall	1.158932e+01	7.839996e+01	5.491764e+01
0.8           	bottom	2.705446e-01	1.801660e+01	4.451724e+00
1             	roughCylinder	1.280975e+00	1.323987e+02	6.466477e+01
1             	sideWall	1.151569e+01	7.828690e+01	5.464955e+01
1             	bottom	3.983620e-01	1.816718e+01	4.570909e+00
1.2           	roughCylinder	1.125353e+00	1.330883e+02	6.489967e+01
1.2           	sideWall	1.146135e+01	7.802680e+01	5.439756e+01
1.2           	bottom	4.089736e-01	1.788741e+01	4.655027e+00
1.4           	roughCylinder	2.003330e+00	1.332387e+02	6.418006e+01
1.4           	sideWall	1.145493e+01	7.769714e+01	5.417267e+01
1.4           	bottom	1.371767e-01	1.984226e+01	4.716454e+00
1.6           	roughCylinder	1.365591e+00	1.331135e+02	6.329058e+01
1.6           	sideWall	1.130611e+01	7.734440e+01	5.397714e+01
1.6           	bottom	2.670367e-01	1.762167e+01	4.773154e+00
1.8           	roughCylinder	1.039196e+00	1.328464e+02	6.228555e+01
1.8           	sideWall	1.114628e+01	7.717873e+01	5.381037e+01
1.8           	bottom	3.841430e-01	1.803269e+01	4.812010e+00
2             	roughCylinder	1.706176e+00	1.325095e+02	6.141379e+01
2             	sideWall	1.093459e+01	7.705144e+01	5.367216e+01
2             	bottom	2.188413e-01	1.787214e+01	4.841333e+00
3             	roughCylinder	4.745646e-01	1.306921e+02	5.756822e+01
3             	sideWall	9.974066e+00	7.772383e+01	5.332188e+01
3             	bottom	1.037674e-01	1.768675e+01	4.917461e+00
4             	roughCylinder	4.506882e-01	1.295209e+02	5.530359e+01
4             	sideWall	9.617758e+00	7.829782e+01	5.332958e+01
4             	bottom	5.540012e-02	1.850061e+01	4.954159e+00
5             	roughCylinder	9.878740e-01	1.289590e+02	5.406797e+01
5             	sideWall	9.548375e+00	7.886760e+01	5.348775e+01
5             	bottom	1.725680e-02	1.753390e+01	5.003887e+00
6             	roughCylinder	5.808200e-01	1.286601e+02	5.348576e+01
6             	sideWall	9.523585e+00	7.954011e+01	5.368324e+01
6             	bottom	1.451227e-01	1.774326e+01	5.077044e+00
7             	roughCylinder	1.995665e+00	1.284911e+02	5.335213e+01
7             	sideWall	9.515564e+00	8.024925e+01	5.389006e+01
7             	bottom	1.640507e-01	1.736948e+01	5.120564e+00
8             	roughCylinder	1.273942e+00	1.283873e+02	5.340782e+01
8             	sideWall	9.515757e+00	8.043286e+01	5.408981e+01
8             	bottom	7.352196e-02	1.741298e+01	5.169389e+00
9             	roughCylinder	1.103627e+00	1.283028e+02	5.353155e+01
9             	sideWall	9.516206e+00	8.026637e+01	5.426944e+01
9             	bottom	3.322774e-02	1.731610e+01	5.220922e+00
10            	roughCylinder	1.777893e-01	1.282468e+02	5.358501e+01
10            	sideWall	9.516014e+00	8.021537e+01	5.442525e+01
10            	bottom	3.530406e-02	1.682260e+01	5.242852e+00
11            	roughCylinder	2.454894e+00	1.281989e+02	5.356535e+01
11            	sideWall	9.516206e+00	8.028273e+01	5.454895e+01
11            	bottom	2.746943e-02	1.724187e+01	5.280065e+00
12            	roughCylinder	9.713323e-01	1.281568e+02	5.351091e+01
12            	sideWall	9.516238e+00	8.035042e+01	5.463794e+01
12            	bottom	1.020102e-03	1.708138e+01	5.304050e+00
13            	roughCylinder	1.158516e+00	1.281315e+02	5.350853e+01
13            	sideWall	9.516174e+00	8.039830e+01	5.470009e+01
13            	bottom	4.571241e-02	1.736047e+01	5.329106e+00
14            	roughCylinder	1.393918e+00	1.281042e+02	5.347492e+01
14            	sideWall	9.516206e+00	8.044008e+01	5.474600e+01
14            	bottom	5.617370e-02	1.713690e+01	5.343258e+00
15            	roughCylinder	1.993699e+00	1.280901e+02	5.343421e+01
15            	sideWall	9.516206e+00	8.046741e+01	5.478302e+01
15            	bottom	5.189260e-02	1.834655e+01	5.365168e+00
16            	roughCylinder	1.757059e+00	1.280800e+02	5.349150e+01
16            	sideWall	9.516238e+00	8.048790e+01	5.481400e+01
16            	bottom	1.204466e-02	1.735244e+01	5.364500e+00
17            	roughCylinder	1.693361e+00	1.280691e+02	5.347147e+01
17            	sideWall	9.516238e+00	8.050573e+01	5.483902e+01
17            	bottom	3.480357e-02	1.742922e+01	5.365217e+00
18            	roughCylinder	1.966852e+00	1.280687e+02	5.341733e+01
18            	sideWall	9.516238e+00	8.051370e+01	5.485852e+01
18            	bottom	6.182306e-02	1.740971e+01	5.368805e+00
19            	roughCylinder	1.410384e+00	1.280617e+02	5.342298e+01
19            	sideWall	9.516270e+00	8.052280e+01	5.487347e+01
19            	bottom	3.427139e-02	1.718388e+01	5.366269e+00
20            	roughCylinder	1.194144e+00	1.280597e+02	5.340778e+01
20            	sideWall	9.516238e+00	8.052736e+01	5.488467e+01
20            	bottom	2.779384e-02	1.726800e+01	5.364872e+00
21            	roughCylinder	1.976730e+00	1.280601e+02	5.342855e+01
21            	sideWall	9.516270e+00	8.052925e+01	5.489305e+01
21            	bottom	1.386775e-02	1.758282e+01	5.376420e+00
22            	roughCylinder	1.130979e+00	1.280562e+02	5.342003e+01
22            	sideWall	9.516270e+00	8.053380e+01	5.489918e+01
22            	bottom	6.765814e-02	1.744104e+01	5.378650e+00
23            	roughCylinder	1.987724e+00	1.280589e+02	5.342860e+01
23            	sideWall	9.516238e+00	8.053342e+01	5.490362e+01
23            	bottom	7.436558e-02	1.758330e+01	5.368345e+00
24            	roughCylinder	1.699145e+00	1.280566e+02	5.339292e+01
24            	sideWall	9.516270e+00	8.053456e+01	5.490684e+01
24            	bottom	6.097171e-02	1.722546e+01	5.374277e+00
25            	roughCylinder	4.679107e-01	1.280562e+02	5.343848e+01
25            	sideWall	9.516270e+00	8.053570e+01	5.490908e+01
25            	bottom	4.667122e-02	1.751126e+01	5.377656e+00
26            	roughCylinder	3.320163e-01	1.280578e+02	5.342823e+01
