# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-3.957109e-04 -4.215895e-05 -2.889345e-04)	(-7.329842e-05 4.215895e-05 2.889345e-04)
0.000000e+00	sideWall	(-8.320743e-05 -2.459589e-06 -5.522784e-12)	(-1.173550e-05 2.449698e-06 1.367419e-11)
0.000000e+00	bottom	(-5.410502e-04 -8.596776e-11 -2.295327e-05)	(-2.270792e-04 8.470832e-11 2.295327e-05)
2.000000e-01	roughCylinder	(-1.918842e-03 -1.079442e-03 -5.966989e-04)	(7.545889e-05 1.111240e-03 2.823134e-04)
2.000000e-01	sideWall	(-3.179341e-04 -2.996483e-05 -7.048866e-06)	(-8.230154e-06 3.053291e-05 2.207030e-05)
2.000000e-01	bottom	(-3.471877e-03 -1.926898e-03 -8.386388e-05)	(4.075218e-04 1.869227e-03 7.899580e-05)
4.000000e-01	roughCylinder	(-2.209783e-03 -1.262689e-03 -5.384947e-04)	(2.154255e-04 1.261843e-03 3.576398e-04)
4.000000e-01	sideWall	(-3.186913e-04 -2.182409e-05 -5.395082e-06)	(-7.101754e-06 2.210447e-05 1.994909e-05)
4.000000e-01	bottom	(-2.948204e-03 -1.645462e-03 -8.305452e-05)	(5.841143e-04 1.859801e-03 6.554487e-05)
6.000000e-01	roughCylinder	(-2.240375e-03 -1.327617e-03 -5.299788e-04)	(2.721033e-04 1.328225e-03 3.545227e-04)
6.000000e-01	sideWall	(-3.155203e-04 -1.693410e-05 -4.329699e-06)	(-6.334698e-06 1.710885e-05 1.759467e-05)
6.000000e-01	bottom	(-2.962022e-03 -1.605887e-03 -7.654506e-05)	(6.705190e-04 1.712647e-03 6.787835e-05)
8.000000e-01	roughCylinder	(-2.225262e-03 -1.352377e-03 -5.536647e-04)	(3.317591e-04 1.353343e-03 3.778132e-04)
8.000000e-01	sideWall	(-3.110203e-04 -1.441727e-05 -3.703441e-06)	(-5.858016e-06 1.454849e-05 1.543248e-05)
8.000000e-01	bottom	(-2.825358e-03 -1.800633e-03 -1.155577e-04)	(7.407784e-04 1.606402e-03 6.890022e-05)
1.000000e+00	roughCylinder	(-2.196657e-03 -1.358512e-03 -9.381088e-04)	(4.106780e-04 1.359165e-03 3.922230e-04)
