# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.391131e+01	3.352454e+01	2.582015e+01
0             	sideWall	1.056686e+01	7.335260e+01	5.408023e+01
0             	bottom	6.572535e-01	2.619488e+00	1.832492e+00
0.2           	roughCylinder	9.815571e-01	1.150564e+02	4.960651e+01
0.2           	sideWall	8.840614e+00	7.545810e+01	5.443115e+01
0.2           	bottom	8.381748e-02	1.899666e+01	1.458865e+00
0.4           	roughCylinder	7.196182e-01	1.167879e+02	5.879826e+01
0.4           	sideWall	8.794046e+00	7.679498e+01	5.442921e+01
0.4           	bottom	1.202053e-01	1.777174e+01	1.516722e+00
0.6           	roughCylinder	2.004484e+00	1.251153e+02	6.152991e+01
0.6           	sideWall	8.676166e+00	7.738807e+01	5.427120e+01
0.6           	bottom	1.093340e-02	1.795890e+01	1.566051e+00
0.8           	roughCylinder	2.337152e+00	1.287598e+02	6.353214e+01
0.8           	sideWall	8.635078e+00	7.754928e+01	5.404906e+01
0.8           	bottom	1.662951e-01	1.749738e+01	1.629904e+00
1             	roughCylinder	1.442243e-01	1.303243e+02	6.474670e+01
1             	sideWall	8.584621e+00	7.744460e+01	5.381107e+01
1             	bottom	1.409847e-01	1.718518e+01	1.716202e+00
1.2           	roughCylinder	2.583448e+00	1.308830e+02	6.498574e+01
1.2           	sideWall	8.563437e+00	7.719329e+01	5.358404e+01
1.2           	bottom	5.529486e-02	1.649668e+01	1.790912e+00
1.4           	roughCylinder	4.401366e-02	1.309463e+02	6.439256e+01
1.4           	sideWall	8.564094e+00	7.687067e+01	5.337868e+01
1.4           	bottom	2.366164e-01	1.670815e+01	1.831694e+00
1.6           	roughCylinder	2.669194e-01	1.307669e+02	6.356467e+01
1.6           	sideWall	8.473597e+00	7.652286e+01	5.319819e+01
1.6           	bottom	8.076120e-02	1.627505e+01	1.860370e+00
1.8           	roughCylinder	8.749915e-01	1.304706e+02	6.263895e+01
1.8           	sideWall	8.425107e+00	7.631116e+01	5.304170e+01
1.8           	bottom	1.458260e-01	1.712955e+01	1.878733e+00
2             	roughCylinder	4.504192e-01	1.301226e+02	6.167411e+01
2             	sideWall	8.418281e+00	7.617949e+01	5.290984e+01
2             	bottom	5.227675e-02	1.586582e+01	1.881793e+00
3             	roughCylinder	5.457467e-01	1.284141e+02	5.786901e+01
3             	sideWall	7.964526e+00	7.684142e+01	5.257205e+01
3             	bottom	5.437641e-02	1.550906e+01	1.863393e+00
4             	roughCylinder	8.836340e-01	1.274597e+02	5.483895e+01
4             	sideWall	7.682186e+00	7.743624e+01	5.258111e+01
4             	bottom	1.730344e-02	1.547836e+01	1.831583e+00
5             	roughCylinder	5.653646e-01	1.271250e+02	5.329979e+01
5             	sideWall	7.621440e+00	7.798420e+01	5.273969e+01
5             	bottom	9.170026e-03	1.477483e+01	1.804244e+00
6             	roughCylinder	1.023489e+00	1.269524e+02	5.280877e+01
6             	sideWall	7.599733e+00	7.861509e+01	5.293360e+01
6             	bottom	7.761689e-03	1.514906e+01	1.780372e+00
7             	roughCylinder	1.832473e+00	1.268627e+02	5.283679e+01
7             	sideWall	7.591353e+00	7.928667e+01	5.313399e+01
7             	bottom	9.046316e-02	1.500873e+01	1.760992e+00
8             	roughCylinder	1.614188e+00	1.267886e+02	5.308363e+01
8             	sideWall	7.590448e+00	7.949671e+01	5.332732e+01
8             	bottom	9.798704e-02	1.486861e+01	1.750337e+00
9             	roughCylinder	8.989154e-01	1.267240e+02	5.330976e+01
9             	sideWall	7.590926e+00	7.931401e+01	5.350124e+01
9             	bottom	4.022709e-02	1.483895e+01	1.756978e+00
10            	roughCylinder	2.173176e-01	1.266653e+02	5.350556e+01
10            	sideWall	7.590689e+00	7.923811e+01	5.364997e+01
10            	bottom	2.241537e-02	1.517203e+01	1.753111e+00
11            	roughCylinder	1.059798e+00	1.266148e+02	5.357430e+01
11            	sideWall	7.590749e+00	7.929745e+01	5.376716e+01
11            	bottom	2.424053e-02	1.470415e+01	1.748253e+00
12            	roughCylinder	6.673548e-01	1.265690e+02	5.356003e+01
12            	sideWall	7.590842e+00	7.937791e+01	5.385070e+01
12            	bottom	3.922763e-02	1.477880e+01	1.752532e+00
13            	roughCylinder	1.292636e-01	1.265268e+02	5.353202e+01
13            	sideWall	7.590806e+00	7.944175e+01	5.390810e+01
13            	bottom	6.393395e-03	1.483060e+01	1.749588e+00
14            	roughCylinder	1.238455e+00	1.264917e+02	5.358506e+01
14            	sideWall	7.590790e+00	7.949825e+01	5.395009e+01
14            	bottom	1.150155e-02	1.492878e+01	1.753479e+00
15            	roughCylinder	1.579281e+00	1.264664e+02	5.354095e+01
15            	sideWall	7.590806e+00	7.954203e+01	5.398470e+01
15            	bottom	1.492917e-02	1.512017e+01	1.751882e+00
16            	roughCylinder	8.751033e-01	1.264478e+02	5.354406e+01
16            	sideWall	7.590822e+00	7.957351e+01	5.401587e+01
16            	bottom	1.980562e-02	1.489875e+01	1.753513e+00
17            	roughCylinder	1.427703e+00	1.264336e+02	5.352886e+01
17            	sideWall	7.590834e+00	7.960153e+01	5.404354e+01
17            	bottom	1.831346e-02	1.496568e+01	1.751066e+00
18            	roughCylinder	1.306295e+00	1.264230e+02	5.349103e+01
18            	sideWall	7.590838e+00	7.961956e+01	5.406704e+01
18            	bottom	2.938300e-02	1.477941e+01	1.754209e+00
19            	roughCylinder	1.259261e+00	1.264151e+02	5.354128e+01
19            	sideWall	7.590846e+00	7.963375e+01	5.408653e+01
19            	bottom	5.902531e-03	1.507283e+01	1.750281e+00
20            	roughCylinder	5.143159e-01	1.264099e+02	5.347831e+01
20            	sideWall	7.590842e+00	7.964487e+01	5.410242e+01
20            	bottom	3.906645e-03	1.515277e+01	1.747659e+00
21            	roughCylinder	1.252834e+00	1.264071e+02	5.348509e+01
21            	sideWall	7.590846e+00	7.965063e+01	5.411501e+01
21            	bottom	1.128341e-02	1.473452e+01	1.750490e+00
22            	roughCylinder	1.186736e+00	1.264036e+02	5.348847e+01
22            	sideWall	7.590850e+00	7.965676e+01	5.412487e+01
22            	bottom	1.423236e-02	1.508901e+01	1.750894e+00
23            	roughCylinder	1.348449e+00	1.264020e+02	5.348145e+01
23            	sideWall	7.590846e+00	7.965983e+01	5.413229e+01
23            	bottom	7.294936e-03	1.495384e+01	1.745882e+00
24            	roughCylinder	1.722694e+00	1.264012e+02	5.348031e+01
24            	sideWall	7.590850e+00	7.966174e+01	5.413811e+01
24            	bottom	4.902515e-03	1.479684e+01	1.756388e+00
25            	roughCylinder	2.220384e+00	1.264000e+02	5.348418e+01
25            	sideWall	7.590850e+00	7.966443e+01	5.414243e+01
25            	bottom	5.886838e-03	1.494151e+01	1.748342e+00
26            	roughCylinder	1.118241e+00	1.264004e+02	5.348879e+01
26            	sideWall	7.590850e+00	7.966481e+01	5.414566e+01
26            	bottom	7.375042e-03	1.490133e+01	1.747449e+00
27            	roughCylinder	9.424307e-01	1.263989e+02	5.347238e+01
27            	sideWall	7.590850e+00	7.966596e+01	5.414772e+01
27            	bottom	3.732651e-03	1.483302e+01	1.749269e+00
28            	roughCylinder	1.179906e+00	1.263989e+02	5.349653e+01
28            	sideWall	7.590850e+00	7.966635e+01	5.414963e+01
28            	bottom	4.144506e-03	1.483164e+01	1.747747e+00
29            	roughCylinder	7.003972e-01	1.263992e+02	5.348321e+01
29            	sideWall	7.590850e+00	7.966635e+01	5.415071e+01
