# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-3.893176e-04 -4.147700e-05 -2.573028e-04)	(-9.040563e-05 4.147700e-05 2.573028e-04)
0.000000e+00	sideWall	(-8.371265e-05 -2.443493e-06 -1.462738e-11)	(-8.359072e-06 2.427685e-06 1.185979e-11)
0.000000e+00	bottom	(-4.915787e-04 -1.668784e-10 -2.887254e-05)	(-1.225088e-04 1.662402e-10 2.887251e-05)
2.000000e-01	roughCylinder	(-1.839295e-03 -7.133300e-04 -3.472220e-04)	(1.143109e-04 7.131619e-04 4.672961e-04)
2.000000e-01	sideWall	(-3.228626e-04 -2.987242e-05 -6.224768e-06)	(-3.531284e-06 3.048156e-05 1.751660e-05)
2.000000e-01	bottom	(-2.169263e-03 -1.381295e-03 -9.048479e-05)	(4.257254e-04 1.438931e-03 6.947054e-05)
4.000000e-01	roughCylinder	(-1.676094e-03 -6.819304e-04 -2.253713e-04)	(1.894247e-04 6.827885e-04 4.280640e-04)
4.000000e-01	sideWall	(-3.214325e-04 -2.063927e-05 -4.973710e-06)	(-2.492256e-06 2.080794e-05 1.542175e-05)
4.000000e-01	bottom	(-1.982573e-03 -1.257195e-03 -8.825188e-05)	(4.789235e-04 1.347071e-03 6.459243e-05)
6.000000e-01	roughCylinder	(-1.539279e-03 -1.028319e-03 -3.197133e-04)	(4.160172e-04 1.022007e-03 3.011817e-04)
6.000000e-01	sideWall	(-3.172034e-04 -1.610169e-05 -4.212897e-06)	(-2.204296e-06 1.641542e-05 1.306378e-05)
6.000000e-01	bottom	(-1.910028e-03 -1.280163e-03 -1.344568e-04)	(7.024679e-04 1.417552e-03 6.988752e-05)
8.000000e-01	roughCylinder	(-1.403677e-03 -1.358538e-03 -3.117875e-04)	(6.000604e-04 1.353242e-03 3.115607e-04)
8.000000e-01	sideWall	(-3.124522e-04 -1.279538e-05 -3.655553e-06)	(-2.182608e-06 1.295144e-05 1.094596e-05)
8.000000e-01	bottom	(-1.888432e-03 -1.313585e-03 -1.748449e-04)	(1.023846e-03 1.347037e-03 1.597378e-04)
1.000000e+00	roughCylinder	(-1.324991e-03 -1.334612e-03 -5.074249e-04)	(8.176498e-04 1.331744e-03 6.632996e-04)
1.000000e+00	sideWall	(-3.079661e-04 -1.069694e-05 -3.425480e-06)	(-2.242172e-06 1.093348e-05 9.157200e-06)
1.000000e+00	bottom	(-1.883256e-03 -1.383093e-03 -2.175758e-04)	(1.262219e-03 1.420022e-03 1.744758e-04)
