# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.758876e+01	3.445407e+01	2.710766e+01
0             	sideWall	1.179732e+01	7.488941e+01	5.521464e+01
0             	bottom	9.207069e-01	4.908200e+00	3.837822e+00
0.2           	roughCylinder	3.984528e+00	6.724799e+01	3.830461e+01
0.2           	sideWall	8.107572e+00	7.650327e+01	5.538092e+01
0.2           	bottom	3.768007e-01	1.435603e+01	3.981249e+00
0.4           	roughCylinder	1.484516e-01	6.481724e+01	3.948410e+01
0.4           	sideWall	7.224033e+00	7.757900e+01	5.532125e+01
0.4           	bottom	2.129386e-01	1.430057e+01	3.901532e+00
0.6           	roughCylinder	1.349718e-01	6.495060e+01	4.037428e+01
0.6           	sideWall	6.991481e+00	7.795470e+01	5.511761e+01
0.6           	bottom	5.150148e-02	1.428448e+01	4.001138e+00
0.8           	roughCylinder	1.180086e+00	7.813824e+01	4.223774e+01
0.8           	sideWall	6.916976e+00	7.798694e+01	5.486016e+01
0.8           	bottom	2.924041e-01	1.416187e+01	4.199949e+00
1             	roughCylinder	5.390402e-01	8.456082e+01	4.385431e+01
1             	sideWall	6.862642e+00	7.781490e+01	5.459805e+01
1             	bottom	3.996196e-01	1.439849e+01	4.350319e+00
1.2           	roughCylinder	1.816547e+00	8.838820e+01	4.530082e+01
1.2           	sideWall	6.870052e+00	7.753982e+01	5.435374e+01
1.2           	bottom	3.729099e-01	1.446185e+01	4.497081e+00
1.4           	roughCylinder	1.314589e+00	9.269668e+01	4.575073e+01
1.4           	sideWall	6.891769e+00	7.722272e+01	5.413537e+01
1.4           	bottom	3.867799e-01	1.579157e+01	4.620201e+00
1.6           	roughCylinder	3.241429e-01	1.024960e+02	4.575566e+01
1.6           	sideWall	6.940280e+00	7.711420e+01	5.394520e+01
1.6           	bottom	6.436587e-02	1.847207e+01	4.714748e+00
1.8           	roughCylinder	1.095781e+00	1.094060e+02	4.558385e+01
1.8           	sideWall	6.746720e+00	7.701536e+01	5.378198e+01
1.8           	bottom	2.072616e-01	1.973772e+01	4.795904e+00
2             	roughCylinder	4.964062e-01	1.085298e+02	4.488761e+01
2             	sideWall	6.564340e+00	7.688569e+01	5.364335e+01
2             	bottom	1.069075e-01	1.919165e+01	4.863028e+00
3             	roughCylinder	6.256406e-01	9.063578e+01	4.116620e+01
3             	sideWall	5.872221e+00	7.802206e+01	5.323187e+01
