# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	roughCylinder	(-3.928288e-04 -4.185526e-05 -2.829071e-04)	(-7.148255e-05 4.185526e-05 2.829071e-04)
0.000000e+00	sideWall	(-8.267063e-05 -2.419144e-06 -5.791194e-12)	(-6.176891e-06 2.409794e-06 1.189291e-11)
0.000000e+00	bottom	(-5.286831e-04 -9.647912e-11 -2.235381e-05)	(-1.195213e-04 9.455326e-11 2.235381e-05)
2.000000e-01	roughCylinder	(-1.822221e-03 -7.073349e-04 -3.642702e-04)	(1.109650e-04 7.071027e-04 9.259618e-04)
2.000000e-01	sideWall	(-3.169389e-04 -2.966721e-05 -8.107227e-06)	(-2.040880e-06 3.016339e-05 1.995686e-05)
2.000000e-01	bottom	(-2.634209e-03 -1.708182e-03 -9.628556e-05)	(5.247000e-04 1.740395e-03 6.593937e-05)
4.000000e-01	roughCylinder	(-1.676304e-03 -6.874284e-04 -2.209158e-04)	(2.195893e-04 6.867539e-04 7.432081e-04)
4.000000e-01	sideWall	(-3.156089e-04 -2.046514e-05 -5.511336e-06)	(-1.596832e-06 2.066889e-05 1.680769e-05)
4.000000e-01	bottom	(-2.432426e-03 -1.634222e-03 -7.722516e-05)	(7.190457e-04 1.629164e-03 5.942937e-05)
6.000000e-01	roughCylinder	(-1.539990e-03 -1.044166e-03 -3.275487e-04)	(4.132878e-04 1.037004e-03 5.462609e-04)
6.000000e-01	sideWall	(-3.116189e-04 -1.602611e-05 -4.128871e-06)	(-1.552720e-06 1.628043e-05 1.409820e-05)
6.000000e-01	bottom	(-2.403431e-03 -1.625208e-03 -1.036209e-04)	(9.845561e-04 1.622942e-03 8.914108e-05)
8.000000e-01	roughCylinder	(-1.394423e-03 -1.344781e-03 -3.370425e-04)	(5.882366e-04 1.340279e-03 4.501519e-04)
8.000000e-01	sideWall	(-3.070810e-04 -1.271378e-05 -3.568289e-06)	(-1.617841e-06 1.287697e-05 1.180523e-05)
8.000000e-01	bottom	(-2.338094e-03 -1.658095e-03 -1.644810e-04)	(1.195533e-03 1.665555e-03 1.509840e-04)
1.000000e+00	roughCylinder	(-1.338342e-03 -1.333258e-03 -8.798691e-04)	(8.263837e-04 1.332141e-03 7.672770e-04)
1.000000e+00	sideWall	(-3.027793e-04 -1.065276e-05 -3.383904e-06)	(-1.701822e-06 1.085844e-05 9.890478e-06)
1.000000e+00	bottom	(-2.359958e-03 -1.811554e-03 -2.276072e-04)	(1.570526e-03 1.820375e-03 1.983094e-04)
1.200000e+00	roughCylinder	(-1.303352e-03 -1.400968e-03 -1.180919e-03)	(8.345517e-04 1.400066e-03 9.876769e-04)
1.200000e+00	sideWall	(-3.016161e-04 -9.031469e-06 -2.952222e-06)	(-1.772066e-06 9.208651e-06 8.324047e-06)
1.200000e+00	bottom	(-2.345328e-03 -1.877890e-03 -2.401876e-04)	(1.837443e-03 1.897178e-03 1.828572e-04)
1.400000e+00	roughCylinder	(-1.276451e-03 -1.422814e-03 -1.211049e-03)	(8.457771e-04 1.422571e-03 1.058159e-03)
1.400000e+00	sideWall	(-3.018737e-04 -7.771302e-06 -2.750272e-06)	(-1.819574e-06 7.908929e-06 7.070058e-06)
1.400000e+00	bottom	(-2.372378e-03 -2.034321e-03 -2.399590e-04)	(2.095886e-03 2.013938e-03 1.984382e-04)
1.600000e+00	roughCylinder	(-1.252637e-03 -1.356437e-03 -1.090852e-03)	(8.743452e-04 1.352538e-03 1.076382e-03)
1.600000e+00	sideWall	(-3.021345e-04 -6.807743e-06 -2.531087e-06)	(-1.845185e-06 6.913404e-06 6.088897e-06)
1.600000e+00	bottom	(-2.365387e-03 -2.119721e-03 -2.008428e-04)	(2.121438e-03 1.966697e-03 2.005059e-04)
1.800000e+00	roughCylinder	(-1.233290e-03 -1.126096e-03 -8.457906e-04)	(8.666473e-04 1.121982e-03 1.000001e-03)
1.800000e+00	sideWall	(-3.022897e-04 -6.389273e-06 -2.577464e-06)	(-1.853340e-06 6.155726e-06 5.339615e-06)
1.800000e+00	bottom	(-2.334102e-03 -1.937336e-03 -1.775480e-04)	(1.983082e-03 2.072175e-03 2.053242e-04)
2.000000e+00	roughCylinder	(-1.229896e-03 -1.007369e-03 -1.072145e-03)	(9.371867e-04 1.004115e-03 9.716827e-04)
2.000000e+00	sideWall	(-3.022142e-04 -6.247818e-06 -2.622019e-06)	(-1.849287e-06 5.854595e-06 4.781365e-06)
2.000000e+00	bottom	(-2.320190e-03 -1.868279e-03 -1.501608e-04)	(1.741702e-03 1.736467e-03 2.127896e-04)
3.000000e+00	roughCylinder	(-1.184631e-03 -7.679599e-04 -1.026128e-03)	(4.737645e-04 7.537496e-04 8.505265e-04)
3.000000e+00	sideWall	(-3.012294e-04 -5.949416e-06 -2.641894e-06)	(-1.678223e-06 5.617228e-06 3.635294e-06)
3.000000e+00	bottom	(-2.103345e-03 -1.575591e-03 -9.878272e-05)	(1.032325e-03 1.540052e-03 1.123376e-04)
4.000000e+00	roughCylinder	(-1.093048e-03 -6.330980e-04 -4.074715e-04)	(3.699294e-04 6.329170e-04 4.056619e-04)
4.000000e+00	sideWall	(-2.995752e-04 -5.911617e-06 -2.530529e-06)	(-1.495629e-06 5.588642e-06 3.407419e-06)
4.000000e+00	bottom	(-1.746520e-03 -1.450361e-03 -6.852916e-05)	(6.648656e-04 1.470980e-03 9.272293e-05)
5.000000e+00	roughCylinder	(-1.036990e-03 -6.319785e-04 -1.579833e-04)	(2.406939e-04 6.320711e-04 2.321312e-04)
5.000000e+00	sideWall	(-2.990661e-04 -5.905009e-06 -2.442751e-06)	(-1.406203e-06 5.583633e-06 3.327422e-06)
5.000000e+00	bottom	(-1.811771e-03 -1.457013e-03 -3.970169e-05)	(6.912220e-04 1.421803e-03 6.400563e-05)
6.000000e+00	roughCylinder	(-9.909632e-04 -6.197766e-04 -8.532938e-05)	(1.378810e-04 6.200531e-04 2.318497e-04)
6.000000e+00	sideWall	(-2.962815e-04 -5.908032e-06 -2.535619e-06)	(-1.367016e-06 5.588377e-06 3.289539e-06)
6.000000e+00	bottom	(-1.796936e-03 -1.392838e-03 -4.366339e-05)	(1.473229e-03 1.445629e-03 6.407836e-05)
7.000000e+00	roughCylinder	(-9.705049e-04 -6.133712e-04 -8.387129e-05)	(9.622063e-05 6.116180e-04 2.309054e-04)
7.000000e+00	sideWall	(-2.935176e-04 -5.901948e-06 -2.739404e-06)	(-1.348075e-06 5.582304e-06 3.273123e-06)
7.000000e+00	bottom	(-1.706157e-03 -1.386394e-03 -3.821345e-05)	(8.341105e-04 1.412234e-03 6.340632e-05)
8.000000e+00	roughCylinder	(-9.588359e-04 -6.103774e-04 -1.005890e-04)	(1.102435e-04 6.080940e-04 2.312735e-04)
8.000000e+00	sideWall	(-2.986069e-04 -5.901490e-06 -2.582169e-06)	(-1.338850e-06 5.581701e-06 3.265360e-06)
8.000000e+00	bottom	(-1.685560e-03 -1.502786e-03 -3.766721e-05)	(7.027888e-04 1.423132e-03 6.320140e-05)
9.000000e+00	roughCylinder	(-9.427518e-04 -6.057893e-04 -7.779608e-05)	(1.339364e-04 6.085837e-04 2.316067e-04)
9.000000e+00	sideWall	(-3.024698e-04 -5.900818e-06 -2.340943e-06)	(-1.334964e-06 5.581757e-06 3.260975e-06)
9.000000e+00	bottom	(-1.674876e-03 -1.466239e-03 -3.739676e-05)	(7.044057e-04 1.487543e-03 6.314298e-05)
1.000000e+01	roughCylinder	(-9.439721e-04 -6.070548e-04 -7.644131e-05)	(1.201510e-04 6.040575e-04 2.311505e-04)
1.000000e+01	sideWall	(-3.047928e-04 -5.900632e-06 -2.293664e-06)	(-1.332862e-06 5.581188e-06 3.259231e-06)
1.000000e+01	bottom	(-1.685163e-03 -1.406026e-03 -3.742399e-05)	(7.056283e-04 1.424139e-03 6.319151e-05)
1.100000e+01	roughCylinder	(-9.424054e-04 -6.029541e-04 -7.721773e-05)	(9.675099e-05 6.058139e-04 2.312767e-04)
1.100000e+01	sideWall	(-3.059969e-04 -5.900717e-06 -2.303490e-06)	(-1.331957e-06 5.581285e-06 3.258450e-06)
1.100000e+01	bottom	(-1.681404e-03 -1.409364e-03 -3.721513e-05)	(7.066361e-04 1.430895e-03 6.318880e-05)
1.200000e+01	roughCylinder	(-9.275132e-04 -6.015048e-04 -7.554462e-05)	(7.671436e-05 6.027545e-04 2.333169e-04)
1.200000e+01	sideWall	(-3.076609e-04 -5.900526e-06 -2.305090e-06)	(-1.331669e-06 5.581768e-06 3.257567e-06)
1.200000e+01	bottom	(-1.672919e-03 -1.414526e-03 -3.731192e-05)	(7.071111e-04 1.493444e-03 6.313467e-05)
1.300000e+01	roughCylinder	(-9.279902e-04 -6.046305e-04 -7.615250e-05)	(7.270797e-05 5.986977e-04 2.299315e-04)
1.300000e+01	sideWall	(-3.086928e-04 -5.901134e-06 -2.296700e-06)	(-1.331100e-06 5.581324e-06 3.257989e-06)
1.300000e+01	bottom	(-1.679810e-03 -1.388295e-03 -3.748618e-05)	(7.074227e-04 1.440209e-03 6.303104e-05)
1.400000e+01	roughCylinder	(-9.299782e-04 -5.974527e-04 -7.383564e-05)	(7.761234e-05 6.049165e-04 2.306551e-04)
1.400000e+01	sideWall	(-3.096766e-04 -5.900596e-06 -2.290733e-06)	(-1.331448e-06 5.581930e-06 3.257428e-06)
1.400000e+01	bottom	(-1.673902e-03 -1.440469e-03 -3.765073e-05)	(7.079715e-04 1.504912e-03 6.331783e-05)
1.500000e+01	roughCylinder	(-9.312460e-04 -6.042839e-04 -7.375850e-05)	(7.605804e-05 5.974213e-04 2.338554e-04)
1.500000e+01	sideWall	(-3.109485e-04 -5.900837e-06 -2.287379e-06)	(-1.331058e-06 5.581663e-06 3.257380e-06)
1.500000e+01	bottom	(-1.637840e-03 -1.415729e-03 -3.728081e-05)	(7.083969e-04 1.396589e-03 6.280132e-05)
1.600000e+01	roughCylinder	(-9.405936e-04 -6.016257e-04 -7.473083e-05)	(7.404613e-05 6.057961e-04 2.322766e-04)
1.600000e+01	sideWall	(-3.105272e-04 -5.901189e-06 -2.286318e-06)	(-1.330909e-06 5.581227e-06 3.258070e-06)
1.600000e+01	bottom	(-1.676437e-03 -1.379480e-03 -3.753123e-05)	(7.092801e-04 1.419446e-03 6.335863e-05)
1.700000e+01	roughCylinder	(-9.335901e-04 -5.993847e-04 -7.655159e-05)	(7.905344e-05 6.100744e-04 2.332467e-04)
1.700000e+01	sideWall	(-3.095867e-04 -5.899917e-06 -2.292148e-06)	(-1.331498e-06 5.582396e-06 3.256357e-06)
1.700000e+01	bottom	(-1.680418e-03 -1.411293e-03 -3.740108e-05)	(7.106549e-04 1.440056e-03 6.333000e-05)
1.800000e+01	roughCylinder	(-9.588698e-04 -6.161515e-04 -7.834472e-05)	(8.173290e-05 5.975431e-04 2.326963e-04)
1.800000e+01	sideWall	(-3.076724e-04 -5.901653e-06 -2.295782e-06)	(-1.330078e-06 5.580275e-06 3.258222e-06)
1.800000e+01	bottom	(-1.708767e-03 -1.376611e-03 -3.738415e-05)	(7.124356e-04 1.424405e-03 6.313210e-05)
1.900000e+01	roughCylinder	(-9.739135e-04 -5.974886e-04 -8.276326e-05)	(7.990538e-05 6.265014e-04 2.335033e-04)
1.900000e+01	sideWall	(-3.051259e-04 -5.899276e-06 -2.305161e-06)	(-1.331620e-06 5.582454e-06 3.255794e-06)
1.900000e+01	bottom	(-1.742106e-03 -1.381808e-03 -3.828977e-05)	(7.144190e-04 1.400743e-03 6.336591e-05)
2.000000e+01	roughCylinder	(-9.920152e-04 -6.295612e-04 -8.643983e-05)	(8.137988e-05 5.999481e-04 2.335871e-04)
2.000000e+01	sideWall	(-3.025306e-04 -5.901264e-06 -2.312722e-06)	(-1.329462e-06 5.579984e-06 3.257239e-06)
2.000000e+01	bottom	(-1.809635e-03 -1.460727e-03 -3.801087e-05)	(7.155321e-04 1.443335e-03 6.343522e-05)
2.100000e+01	roughCylinder	(-1.008857e-03 -6.034992e-04 -8.462749e-05)	(8.118915e-05 6.323032e-04 2.347807e-04)
2.100000e+01	sideWall	(-2.991697e-04 -5.899233e-06 -2.321719e-06)	(-1.331215e-06 5.581740e-06 3.255758e-06)
2.100000e+01	bottom	(-1.830584e-03 -1.404347e-03 -3.832603e-05)	(7.169934e-04 1.480637e-03 6.379206e-05)
2.200000e+01	roughCylinder	(-1.026753e-03 -6.332699e-04 -8.719156e-05)	(7.793586e-05 6.094592e-04 2.339526e-04)
2.200000e+01	sideWall	(-2.967462e-04 -5.900404e-06 -2.332753e-06)	(-1.329274e-06 5.580259e-06 3.255811e-06)
2.200000e+01	bottom	(-1.846819e-03 -1.449210e-03 -3.834529e-05)	(7.168603e-04 1.400774e-03 6.396003e-05)
2.300000e+01	roughCylinder	(-1.021239e-03 -6.140020e-04 -8.629122e-05)	(8.039221e-05 6.322788e-04 2.331151e-04)
2.300000e+01	sideWall	(-2.942945e-04 -5.899699e-06 -2.337686e-06)	(-1.330501e-06 5.580704e-06 3.256146e-06)
2.300000e+01	bottom	(-1.852337e-03 -1.462655e-03 -3.842919e-05)	(7.163858e-04 1.476411e-03 6.362611e-05)
2.400000e+01	roughCylinder	(-1.024295e-03 -6.295073e-04 -8.567159e-05)	(8.505874e-05 6.214383e-04 2.324846e-04)
2.400000e+01	sideWall	(-2.929635e-04 -5.899350e-06 -2.345318e-06)	(-1.329495e-06 5.580948e-06 3.254422e-06)
2.400000e+01	bottom	(-1.834551e-03 -1.494935e-03 -3.858212e-05)	(7.154117e-04 1.503833e-03 6.385269e-05)
2.500000e+01	roughCylinder	(-1.023600e-03 -6.283396e-04 -8.361091e-05)	(9.161291e-05 6.254026e-04 2.333674e-04)
2.500000e+01	sideWall	(-2.914170e-04 -5.900466e-06 -2.347422e-06)	(-1.329618e-06 5.579539e-06 3.256821e-06)
