# y+ ()       
# Time        	patch         	min           	max           	average       
0             	roughCylinder	1.363660e+01	3.284852e+01	2.548429e+01
0             	sideWall	9.205385e+00	7.423817e+01	5.441867e+01
0             	bottom	5.423266e-01	2.552484e+00	1.811404e+00
0.2           	roughCylinder	2.672924e+00	8.186970e+01	3.736762e+01
0.2           	sideWall	4.909521e+00	7.583000e+01	5.472452e+01
0.2           	bottom	1.176159e-01	1.483791e+01	1.351175e+00
0.4           	roughCylinder	3.882113e-01	7.981514e+01	3.924412e+01
0.4           	sideWall	4.856492e+00	7.689733e+01	5.477482e+01
0.4           	bottom	7.897599e-02	1.409691e+01	1.412417e+00
0.6           	roughCylinder	4.571787e-01	8.276804e+01	4.049156e+01
0.6           	sideWall	4.883624e+00	7.728191e+01	5.464474e+01
0.6           	bottom	6.919246e-02	1.418810e+01	1.496793e+00
0.8           	roughCylinder	4.483771e-01	8.396766e+01	4.211177e+01
0.8           	sideWall	4.904776e+00	7.731561e+01	5.443921e+01
0.8           	bottom	6.594442e-02	1.408353e+01	1.618013e+00
1             	roughCylinder	1.011448e+00	8.357187e+01	4.405637e+01
1             	sideWall	4.918637e+00	7.715383e+01	5.421451e+01
1             	bottom	1.606814e-01	1.432662e+01	1.764064e+00
1.2           	roughCylinder	5.160742e-01	8.889386e+01	4.581166e+01
1.2           	sideWall	4.953204e+00	7.688875e+01	5.399730e+01
1.2           	bottom	7.802423e-02	1.435761e+01	1.873846e+00
1.4           	roughCylinder	9.473058e-01	9.224608e+01	4.611929e+01
1.4           	sideWall	4.973348e+00	7.657996e+01	5.379862e+01
1.4           	bottom	1.522024e-01	1.428402e+01	1.954415e+00
1.6           	roughCylinder	4.739011e-01	9.845103e+01	4.590870e+01
1.6           	sideWall	5.010512e+00	7.643692e+01	5.362271e+01
1.6           	bottom	7.172333e-02	1.479436e+01	2.032890e+00
1.8           	roughCylinder	7.381786e-01	1.053847e+02	4.554987e+01
1.8           	sideWall	5.041954e+00	7.634401e+01	5.346984e+01
1.8           	bottom	2.003274e-01	1.430707e+01	2.087820e+00
2             	roughCylinder	6.606921e-01	1.094721e+02	4.487849e+01
2             	sideWall	5.059477e+00	7.622305e+01	5.333874e+01
2             	bottom	9.968003e-02	1.419258e+01	2.129139e+00
3             	roughCylinder	5.970858e-01	9.794749e+01	4.066213e+01
3             	sideWall	4.790247e+00	7.741932e+01	5.293960e+01
3             	bottom	2.832202e-02	1.448275e+01	2.063636e+00
4             	roughCylinder	2.038701e-01	9.272536e+01	3.603333e+01
4             	sideWall	4.534969e+00	7.784308e+01	5.276041e+01
4             	bottom	2.175728e-02	1.355848e+01	1.819199e+00
5             	roughCylinder	2.988179e-01	8.846996e+01	3.394854e+01
5             	sideWall	4.431094e+00	7.791771e+01	5.269168e+01
5             	bottom	1.010088e-02	1.377141e+01	1.804897e+00
6             	roughCylinder	3.388218e-01	6.562489e+01	3.261415e+01
6             	sideWall	4.361398e+00	7.775781e+01	5.267810e+01
6             	bottom	2.836746e-03	1.360623e+01	1.991296e+00
7             	roughCylinder	2.100801e-01	5.624178e+01	3.127835e+01
7             	sideWall	4.318102e+00	7.749877e+01	5.273277e+01
7             	bottom	1.210995e-02	1.327220e+01	2.010088e+00
8             	roughCylinder	2.199897e-01	5.765777e+01	3.061661e+01
8             	sideWall	4.296034e+00	7.804781e+01	5.284298e+01
8             	bottom	3.782515e-02	1.335382e+01	1.999570e+00
9             	roughCylinder	5.167962e-01	5.959024e+01	2.982633e+01
9             	sideWall	4.284615e+00	7.858945e+01	5.295721e+01
9             	bottom	7.558989e-03	1.342000e+01	2.002645e+00
10            	roughCylinder	3.475019e-01	5.592353e+01	2.910437e+01
10            	sideWall	4.279002e+00	7.898369e+01	5.299968e+01
10            	bottom	1.170543e-02	1.329928e+01	2.004186e+00
11            	roughCylinder	4.475512e-01	5.105601e+01	2.868435e+01
11            	sideWall	4.275603e+00	7.918568e+01	5.301630e+01
11            	bottom	2.270330e-03	1.334313e+01	2.001819e+00
12            	roughCylinder	3.298355e-01	4.825314e+01	2.839014e+01
12            	sideWall	4.273138e+00	7.936213e+01	5.306523e+01
12            	bottom	2.173045e-03	1.323737e+01	2.011349e+00
13            	roughCylinder	4.865809e-01	4.822705e+01	2.846991e+01
13            	sideWall	4.271872e+00	7.951784e+01	5.313275e+01
13            	bottom	9.651783e-03	1.339645e+01	2.018105e+00
14            	roughCylinder	1.094679e-01	4.824462e+01	2.846880e+01
14            	sideWall	4.271107e+00	7.964181e+01	5.320259e+01
14            	bottom	1.026013e-02	1.360455e+01	2.026240e+00
15            	roughCylinder	3.558663e-01	4.838926e+01	2.851346e+01
15            	sideWall	4.271050e+00	7.976328e+01	5.326412e+01
15            	bottom	8.196371e-03	1.320399e+01	2.026275e+00
16            	roughCylinder	9.783452e-01	4.825259e+01	2.849192e+01
16            	sideWall	4.270549e+00	7.972268e+01	5.331295e+01
16            	bottom	2.616194e-03	1.336756e+01	2.024148e+00
17            	roughCylinder	3.559741e-01	4.862886e+01	2.852648e+01
17            	sideWall	4.270664e+00	7.959961e+01	5.334465e+01
17            	bottom	1.116775e-02	1.331706e+01	2.031531e+00
18            	roughCylinder	1.131263e-01	4.876268e+01	2.869459e+01
18            	sideWall	4.270442e+00	7.945905e+01	5.335713e+01
18            	bottom	1.160613e-02	1.334863e+01	2.022168e+00
19            	roughCylinder	4.395903e-01	4.916729e+01	2.875368e+01
19            	sideWall	4.269934e+00	7.918838e+01	5.335147e+01
19            	bottom	1.293101e-02	1.339840e+01	2.018964e+00
20            	roughCylinder	6.972231e-01	4.942211e+01	2.904579e+01
20            	sideWall	4.270099e+00	7.886915e+01	5.332616e+01
20            	bottom	1.082967e-02	1.360179e+01	2.020480e+00
21            	roughCylinder	7.699915e-01	4.973316e+01	2.931699e+01
21            	sideWall	4.268997e+00	7.848289e+01	5.328208e+01
21            	bottom	2.393176e-02	1.366241e+01	2.011952e+00
22            	roughCylinder	8.478311e-01	5.000410e+01	2.962458e+01
22            	sideWall	4.269498e+00	7.816860e+01	5.322457e+01
22            	bottom	3.314052e-02	1.375600e+01	2.013739e+00
23            	roughCylinder	8.911540e-02	4.980243e+01	2.996899e+01
23            	sideWall	4.268160e+00	7.788011e+01	5.315936e+01
23            	bottom	1.397498e-02	1.372591e+01	2.018019e+00
24            	roughCylinder	3.572597e-01	4.982344e+01	3.028675e+01
24            	sideWall	4.268890e+00	7.768865e+01	5.309260e+01
24            	bottom	3.397539e-02	1.376377e+01	2.007476e+00
25            	roughCylinder	1.172707e+00	4.996933e+01	3.058289e+01
25            	sideWall	4.267609e+00	7.750555e+01	5.302882e+01
