# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	sidewalls	(-1.869242e-04 -1.034793e-07 -9.039521e-11)	(-4.409122e-06 1.034682e-07 1.304367e-10)
0.000000e+00	noSlipWalls	(-4.687719e-04 -2.157849e-10 -1.754954e-08)	(-8.307392e-05 2.208023e-10 1.766825e-08)
2.000000e+01	sidewalls	(-2.646064e-04 -3.150691e-11 -1.542346e-11)	(-3.644176e-06 3.511500e-11 2.313620e-11)
2.000000e+01	noSlipWalls	(-3.701294e-04 -3.360145e-10 -2.490028e-11)	(-6.866129e-05 3.273810e-10 1.938596e-11)
4.000000e+01	sidewalls	(-2.660020e-04 -2.468399e-11 -1.549047e-11)	(-3.682669e-06 2.896795e-11 9.107446e-12)
4.000000e+01	noSlipWalls	(-3.760471e-04 -1.831072e-10 -2.314349e-11)	(-6.938655e-05 1.817837e-10 1.708911e-11)
6.000000e+01	sidewalls	(-2.662815e-04 -2.159324e-11 -1.895576e-11)	(-3.689375e-06 2.418914e-11 1.068040e-11)
6.000000e+01	noSlipWalls	(-3.760308e-04 -1.659846e-10 -2.741168e-11)	(-6.951289e-05 1.630075e-10 1.821984e-11)
8.000000e+01	sidewalls	(-2.663917e-04 -1.870811e-11 -2.113594e-11)	(-3.691116e-06 1.437049e-11 1.213069e-11)
8.000000e+01	noSlipWalls	(-3.758944e-04 -1.634355e-10 -2.929884e-11)	(-6.954570e-05 1.632609e-10 2.139098e-11)
