# y+ ()       
# Time        	patch         	min           	max           	average       
0             	sidewalls	1.645965e+01	9.827818e+01	7.470250e+01
0             	noSlipWalls	8.735909e-01	3.520924e+00	2.692107e+00
20            	sidewalls	8.675586e+00	9.471111e+01	6.980588e+01
20            	noSlipWalls	4.604540e-01	4.025819e+00	2.308704e+00
40            	sidewalls	8.767876e+00	9.493730e+01	7.003304e+01
40            	noSlipWalls	4.653523e-01	4.295646e+00	2.342902e+00
60            	sidewalls	8.784510e+00	9.498434e+01	7.008163e+01
60            	noSlipWalls	4.662351e-01	4.295342e+00	2.336544e+00
80            	sidewalls	8.789393e+00	9.500363e+01	7.009928e+01
80            	noSlipWalls	4.664943e-01	4.288514e+00	2.334221e+00
